Brand,Product Type,Collection,Category,Shade Name,ApproxHex,ProductURL,SwatchURL
The GelBottle Inc.,GelColor,,Shimmery,I Do MINI,#F9EADF,https://thegelbottle.com/shop/gel-colour/minis/i-do-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1661/images/386595/2e93aaac2e3e988d1bc5a9d0b2e2a57ed2714d46_59746_i_do_mini__77033.1758289515.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Glitter,Something Blue MINI,#D6DBE3,https://thegelbottle.com/shop/gel-colour/minis/something-blue-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1658/images/382785/84da44046e1b22dfb83974a0639a4130681e548f_59741_something_blue_mini__04754.1758289511.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Ever After MINI,#ECE1E7,https://thegelbottle.com/shop/gel-colour/minis/ever-after-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1660/images/386526/260bed08af8b446bdf7f682b8b855cb0238c9e48_59747_ever_after_mini__39511.1758289515.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Orange Soda Mini,#FE9A41,https://thegelbottle.com/shop/gel-colour/orange-soda-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1635/images/385731/9a83f683be42cf51e8cf8610f0223e31c5bbe8e1_59551_orange_soda_mini__12448.1758289504.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Milkshake Mini,#E3AED2,https://thegelbottle.com/shop/gel-colour/milkshake-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1620/images/385379/915187a6c8220338881481110a1c43d758ab5b2f_59538_milkshake_mini__23881.1758289503.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Sundae Mini,#C5E7E6,https://thegelbottle.com/shop/gel-colour/sundae-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1617/images/383279/30c10bca03bad2d376b70a3c3fa430d83848277e_59541_sundae_mini__94167.1758289502.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Heist Mini,#411819,https://thegelbottle.com/autumn-edit/heist-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2222/images/387877/c67ffc99d51023e00b5caf4a7f855d953d44b29e_01_25021_EC_POP_HEIST_7518_FINAL_1500x1500crop_72dpi__73798.1758287772.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,"Magnetic, Cat-eye",Decoy Magnetic Mini,#AB3783,https://thegelbottle.com/autumn-edit/decoy-magnetic-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2224/images/387907/d2465f05386d91cc54cb3b59ad8f5f244fa31fc8_01_25021_EC_POP_DECOY_7535_FINAL_1500x1500crop_72dpi__48765.1758287768.220.290.jpg?c=1
The GelBottle Inc.,GelColor,Autumn Edit,Standard,Alibi Mini,#E0C0DD,https://thegelbottle.com/autumn-edit/alibi-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2221/images/387876/c55560829ffd900213d15275d07a355b10480662_01_25021_EC_POP_ALIBI_7538_FINAL_1500x1500crop_72dpi__79955.1758287769.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Sprinkles Mini,#FE9D93,https://thegelbottle.com/shop/gel-colour/sprinkles-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1621/images/383239/9e2d824d706bf42dec00a53a46372bc2952e4438_59536_sprinkle_mini__95795.1758289505.220.290.jpg?c=1
